qid,category,confidence,reading_score,math_score,knowledge_score,question
test_0077,MATH,0.858,0.8203,0.858,0.8216,"Một công ty đang phân tích chi phí quý của mình và nhận thấy rằng chi phí trong mỗi quý có thể được mô hình hóa bởi các phương trình sau:
- Q1: $ E_1 = 3000 + 100y $
- Q2: $ E_2 = 4000 + 150y $
- Q3: $ E_3 = 5000 + 200y $
- Q4: $ E_4 = 6000 + 250y $
trong đó $ y $ là một biến chưa biết biểu thị tác động của một chiến lược giảm chi phí mới. Tổng chi phí hàng năm được công ty báo cáo là 18.000 đô la. Giá trị của $ y $ là bao nhiêu?"
test_0078,MATH,0.8524,0.8199,0.8524,0.8094,"Một hạt chuyển động dọc theo trục x với vị trí được cho bởi hàm số $ x(t) = t^3 - 3t^2 + 3t + 1 $ mét, trong đó $ t $ tính bằng giây. Hạt đó đạt được vận tốc nhỏ nhất tại thời điểm $ t $ nào?"
test_0079,MATH,0.8245,0.8104,0.8245,0.81,"Đối với chương trình đào tạo chuyên sâu đặc thù trình độ bậc 7, yêu cầu số lượng giảng viên cơ hữu là bao nhiêu?"
test_0080,KNOWLEDGE,0.8798,0.8667,0.8501,0.8798,Tính nhân văn của văn hóa chính trị biểu hiện ở chỗ:
test_0081,MATH,0.8682,0.8439,0.8682,0.835,"Một doanh nghiệp hoạt động trong thị trường cạnh tranh hoàn hảo và đối mặt với các hàm chi phí sau:
- Tổng chi phí (TC) = 400 + 15Q + 3Q^2
- Chi phí biên (MC) = 15 + 6Q
- Chi phí trung bình tổng (ATC) = (400/Q) + 15 + 3Q
Cho biết giá thị trường là P = 45, và doanh nghiệp đang sản xuất ở mức sản lượng tối đa hóa lợi nhuận, câu nào sau đây là đúng?"
test_0082,MATH,0.8535,0.8249,0.8535,0.8247,"Một nghiên cứu được thực hiện để xác định xem một phương pháp giảng dạy mới có cải thiện hiệu suất của học sinh trên bài kiểm tra chuẩn hóa hay không. Giả thuyết không $ H_0 $ là phương pháp mới không có tác động, và giả thuyết thay thế $ H_1 $ là phương pháp mới cải thiện hiệu suất. Điểm trung bình của mẫu là 78, điểm trung bình của quần thể là 75, và độ lệch chuẩn của quần thể là 10. Kích thước mẫu là 100. Với mức ý nghĩa 0.05, điểm z cho bài kiểm tra này là bao nhiêu?"
test_0083,MATH,0.8659,0.8398,0.8659,0.8276,"Một quả bóng có khối lượng $ m $ được ném theo phương ngang từ đỉnh một tòa tháp có chiều cao $ h $ với vận tốc ban đầu $ v_0 $. Bỏ qua lực cản không khí, biểu thức nào sau đây mô tả chính xác vận tốc $ v $ của quả bóng ngay trước khi nó chạm đất?"
test_0084,KNOWLEDGE,0.7755,0.7623,0.7555,0.7755,Ngôi chùa Ba La Mật được khai dựng vào năm nào?
test_0085,MATH,0.8501,0.8126,0.8501,0.8115,"Một hạt đang chuyển động với tốc độ $0.6c$, trong đó $c$ là tốc độ ánh sáng. Động lượng tương đối $p$ của hạt là bao nhiêu nếu khối lượng nghỉ của nó là $m_0$?"
test_0086,MATH,0.8224,0.8174,0.8224,0.8015,Chất liệu nào được sử dụng làm chất nền của đĩa cứng hiện đại để cải thiện độ đồng đều của bề mặt từ tính và giảm lỗi đọc/ghi?
test_0087,MATH,0.8244,0.8051,0.8244,0.8176,"Theo quy định mới từ ngày 1/7/2025, Việt Nam sẽ áp dụng mô hình hành chính bao nhiêu cấp?"
test_0088,MATH,0.847,0.831,0.847,0.8294,Tại sao việc xác định mục tiêu hoạt động là quan trọng đối với doanh nghiệp?
test_0089,READING,0.8494,0.8494,0.8447,0.8454,"Trong bối cảnh luật hình sự, câu hỏi nào dưới đây mô tả chính xác nhất thuật ngữ ""actus reus""?"
test_0090,KNOWLEDGE,0.8284,0.8139,0.8208,0.8284,"Đoạn thông tin:
[1] Tiêu đề: Chó ngao Anh
Nội dung: Chó ngao Anh (English Mastiff) hay đôi khi gọi là chó ngao là một giống chó ngao có nguồn gốc từ nước Anh. Đây là giống chó lớn nhất thế giới về cân nặng, và đứng hàng thứ ba về chiều cao chỉ sau giống chó săn Ái Nhĩ Lan (Irish Wolfhound) và Great Dane. Nó còn có tên gọi Old English Mastif, English Mastif hay Mastiff. Trong tiếng Anh có rất nhiều giống chó của các nước khác có đi kèm theo chữ Mastiff tức chó ngao, nhưng nếu chỉ dùng chữ Mastiff"
test_0091,MATH,0.8509,0.8432,0.8509,0.8475,"Đoạn thông tin:
-- Đoạn văn 1 --
Tiêu đề: Quá cảnh của Sao Kim, 2004
Nội dung: Quá cảnh sao Kim gần đây thứ hai được quan sát từ Trái Đất diễn ra vào ngày 8 tháng 6 năm 2004. Sự kiện này đã nhận được sự chú ý đáng kể, vì đây là lần vận chuyển đầu tiên của Sao Kim sau khi phát minh ra phương tiện truyền thông phát sóng. Không có con người nào còn sống vào thời điểm đó đã chứng kiến hiện tượng quá cảnh sao Kim trước đó kể từ khi quá cảnh đó xảy ra vào ngày 6 tháng 12 năm 1882. Đài thiên văn Nam ch"
test_0092,KNOWLEDGE,0.7888,0.7637,0.7799,0.7888,"Tháng 06 năm 1929, tổ chức Đảng Cộng sản đầu tiên ra đời ở Bắc kỳ với tên gọi gì?"
test_0093,MATH,0.8529,0.8236,0.8529,0.8182,"Trong một phản ứng hạt nhân giả định, một hạt nhân của nguyên tố Y có số khối là 200 bị phân hạch thành hai hạt nhân, mỗi hạt có số khối là 100. Biết rằng năng lượng liên kết trên nuclôn của nguyên tố Y là 7,8 MeV và của các hạt nhân tạo thành là 8,5 MeV, hỏi năng lượng tổng cộng được giải phóng trong phản ứng này là bao nhiêu?"
test_0094,MATH,0.8549,0.8458,0.8549,0.8462,"Đoạn thông tin:
Title: Zirconi
Content: Zirconi là một nguyên tố hóa học có ký hiệu Zr và số nguyên tử 40. Nó là một kim loại chuyển tiếp màu trắng xám bóng láng, tương tự như titan. Zirconi được sử dụng như là một tác nhân tạo hợp kim do khả năng cao trong chống ăn mòn của nó. Nó không bao giờ được tìm thấy như là một kim loại tự nhiên mà thu được chủ yếu từ khoáng vật zircon, chất có thể được làm tinh khiết nhờ clo. Zirconi lần đầu tiên được Berzelius cô lập từ dạng không tinh khiết vào năm 18"
test_0095,KNOWLEDGE,0.833,0.829,0.8288,0.833,"Đoạn thông tin:
-- Đoạn văn 1 --
Tiêu đề: Cung điện của Giáo hoàng (Avignon)
Nội dung: Cung điện của Giáo hoàng là một cung điện theo kiến trúc gothic nằm ở khu lịch sử của thành phố Avignon, Pháp. Avignon trở thành nơi ở của Giáo hoàng bắt đầu vào năm 1309. Sau khi được chọn làm Giáo hoàng năm 1305, Clement V đã dọn toàn thể bộ máy hành chính của Tòa Thánh về Avignon để tránh các bạo lực chống lại ông ở Roma. Lúc ban đầu Clement V sống tại tu viện của dòng Dominic, nhưng ngay sau đó ông và các "
test_0096,MATH,0.8525,0.8176,0.8525,0.8222,"Một công ty có một khoản phải thu tiền mặt trị giá 150.000 USD với lãi suất hàng năm là 4%. Khoản phải thu này sẽ đáo hạn sau 24 tháng, và năm tài chính của công ty kết thúc vào ngày 31 tháng 12. Nếu khoản phải thu được phát hành vào ngày 1 tháng 7, số tiền lãi phải thu mà công ty nên báo cáo trên bảng cân đối kế toán vào cuối năm tài chính là bao nhiêu?"
test_0097,KNOWLEDGE,0.823,0.8108,0.8197,0.823,Người ở độ tuổi nào phải chịu trách nhiệm hình sự về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng?
test_0098,MATH,0.8514,0.8376,0.8514,0.8512,"Thế nan giải của người tù là một trò chơi nổi tiếng, trong đó:"
test_0099,MATH,0.8733,0.8359,0.8733,0.834,"Một công ty có các dữ liệu tài chính sau cho năm hiện tại:
- Lợi nhuận gộp: 400.000 đô la
- Chi phí hoạt động: 150.000 đô la
- Tài sản tổng cộng: 2.000.000 đô la
- Vốn chủ sở hữu tổng cộng: 1.200.000 đô la
- Doanh số tổng cộng: 800.000 đô la
Dựa vào các con số này, hãy tính tỷ suất lợi nhuận hoạt động và tỷ suất vòng quay tài sản. Câu nào sau đây là đúng dựa trên các phép tính này?"
test_0100,READING,0.8806,0.8806,0.8745,0.8775,"Điền từ còn thiếu vào chỗ trống: ""Tấc đất, ... vàng"""
